Fecha;IPC Cba nivel general, base agos=100;IPC Cba Inflación Núcleo;Base monetaria (M0), saldos a fin de mes en millones de pesos;M2;M2_moneda_nacional;M2_moneda_extranjera;M3;M3_moneda_nacional;M3_moneda_extranjera;M3_Total;M3_total_pesos;M3_total_moneda_extranjera;TCN;emae_des;emae_orig
2012-01;80;;216117;367717;341019;26698;612704;554931;57774;614428;556600;57828;4;147;136
2012-02;81;;205437;369498;343069;26429;620223;562759;57464;621792;564273;57519;4;145;132
2012-03;82;;220626;370720;344530;26190;629669;572448;57221;631204;573927;57277;4;145;147
2012-04;83;;222914;378584;351925;26660;640944;583177;57767;642545;584721;57824;4;142;146
2012-05;84;;225512;389879;367364;22515;655401;603054;52348;656825;604421;52404;4;140;157
2012-06;85;;244158;414480;396032;18448;669966;625189;44777;671773;626941;44832;5;141;149
2012-07;86;;246461;423552;405760;17792;688927;646042;42885;690574;647632;42942;5;145;147
2012-08;87;;260757;424093;406959;17134;707277;665214;42063;708584;666463;42120;5;145;146
2012-09;88;;265189;422018;404936;17082;716856;674874;41982;718228;676191;42037;5;146;142
2012-10;89;;265116;435012;414923;20090;732459;687365;45094;733597;688447;45150;5;147;147
2012-11;90;;268659;450930;430829;20100;755283;710166;45117;756472;711301;45171;5;147;146
2012-12;91;;307352;530022;506802;23220;796440;747484;48957;798788;749775;49012;5;149;144
2013-01;93;;287546;485255;464766;20489;800772;754454;46318;802139;755802;46336;5;146;137
2013-02;94;;291151;483862;465724;18138;804273;760283;43990;805497;761488;44009;5;148;133
2013-03;95;;302214;489797;472751;17047;811438;768464;42974;812347;769344;43002;5;148;149
2013-04;96;;287319;491262;473281;17982;822610;778777;43833;823796;779938;43858;5;149;156
2013-05;96;;304336;496800;478431;18369;838110;794009;44102;839059;794932;44127;5;148;168
2013-06;98;;307549;530000;511630;18370;861336;817076;44260;862310;818032;44278;5;149;156
2013-07;99;;318128;539139;520187;18953;883768;838535;45233;885009;839753;45256;6;148;151
2013-08;100;100;321192;544146;525617;18529;898528;853184;45344;900006;854642;45365;6;150;148
2013-09;101;101;327433;564597;544510;20087;923418;876071;47347;924669;877303;47367;6;150;147
2013-10;103;103;326803;560851;540311;20540;937694;889611;48083;938835;890732;48103;6;149;149
2013-11;105;106;336846;572556;550702;21854;955017;904815;50202;956164;905947;50218;6;148;146
2013-12;108;109;377197;662411;637066;25345;999888;944059;55829;1001333;945489;55845;7;147;143
2014-01;112;112;363858;651501;616379;35122;1016943;944910;72033;1018588;946536;72052;8;146;138
2014-02;118;119;344819;605361;572409;32952;1004141;935053;69088;1005684;936576;69108;8;147;132
2014-03;122;123;349029;608343;578132;30211;1014355;947407;66948;1015851;948883;66968;8;145;145
2014-04;125;125;352163;598135;572382;25752;1015264;952132;63132;1016719;953561;63157;8;145;152
