Fecha;IPC_NG;IPC_Nucleo;M0;M3;TCN;emae_des;emae_orig;Pasivos remunerados
1940-06;;;1,8384E-10; 0,00 ;;;;
1940-07;;;1,8516E-10; 0,00 ;;;;
1940-08;;;1,7996E-10; 0,00 ;;;;
1940-09;;;1,7579E-10; 0,00 ;;;;
1940-10;;;1,7769E-10; 0,00 ;;;;
1940-11;;;1,85E-10; 0,00 ;;;;
1940-12;;;1,8835E-10; 0,00 ;;;;
1941-01;;;1,9297E-10; 0,00 ;;;;
1941-02;;;1,9018E-10; 0,00 ;;;;
1941-03;;;1,9403E-10; 0,00 ;;;;
1941-04;;;1,9598E-10; 0,00 ;;;;
1941-05;;;2,0173E-10; 0,00 ;;;;
1941-06;;;2,1163E-10; 0,00 ;;;;
1941-07;;;2,1684E-10; 0,00 ;;;;
1941-08;;;2,0586E-10; 0,00 ;;;;
1941-09;;;2,0692E-10; 0,00 ;;;;
1941-10;;;2,1098E-10; 0,00 ;;;;
1941-11;;;2,0583E-10; 0,00 ;;;;
1941-12;;;2,2206E-10; 0,00 ;;;;
1942-01;;;2,2191E-10; 0,00 ;;;;
1942-02;;;2,3019E-10; 0,00 ;;;;
1942-03;;;2,2992E-10; 0,00 ;;;;
1942-04;;;2,3389E-10; 0,00 ;;;;
1942-05;;;2,3711E-10; 0,00 ;;;;
1942-06;;;2,4354E-10; 0,00 ;;;;
1942-07;;;2,4342E-10; 0,00 ;;;;
1942-08;;;2,4191E-10; 0,00 ;;;;
1942-09;;;2,487E-10; 0,00 ;;;;
1942-10;;;2,5982E-10; 0,00 ;;;;
1942-11;;;2,5811E-10; 0,00 ;;;;
1942-12;;;2,6841E-10; 0,00 ;;;;
1943-01;;;2,6964E-10; 0,00 ;;;;
1943-02;;;2,6944E-10; 0,00 ;;;;
1943-03;;;2,7407E-10; 0,00 ;;;;
1943-04;;;2,7375E-10; 0,00 ;;;;
1943-05;;;2,7844E-10; 0,00 ;;;;
1943-06;;;2,8607E-10; 0,00 ;;;;
1943-07;;;2,8644E-10; 0,00 ;;;;
1943-08;;;2,9366E-10; 0,00 ;;;;
1943-09;;;2,8775E-10; 0,00 ;;;;
1943-10;;;3,1473E-10; 0,00 ;;;;
1943-11;;;3,2299E-10; 0,00 ;;;;
1943-12;;;3,3503E-10; 0,00 ;;;;
1944-01;;;3,4437E-10; 0,00 ;;;;
1944-02;;;3,6261E-10; 0,00 ;;;;
1944-03;;;3,7025E-10; 0,00 ;;;;
1944-04;;;3,6386E-10; 0,00 ;;;;
1944-05;;;3,6381E-10; 0,00 ;;;;
1944-06;;;3,7587E-10; 0,00 ;;;;
1944-07;;;3,7095E-10; 0,00 ;;;;
1944-08;;;3,8801E-10; 0,00 ;;;;
1944-09;;;3,9474E-10; 0,00 ;;;;
1944-10;;;3,9794E-10; 0,00 ;;;;
1944-11;;;4,0088E-10; 0,00 ;;;;
1944-12;;;4,1531E-10; 0,00 ;;;;
1945-01;;;4,1493E-10; 0,00 ;;;;
1945-02;;;4,1618E-10; 0,00 ;;;;
1945-03;;;4,2019E-10; 0,00 ;;;;
1945-04;;;4,468E-10; 0,00 ;;;;
1945-05;;;4,5185E-10; 0,00 ;;;;
1945-06;;;4,5075E-10; 0,00 ;;;;
1945-07;;;4,579E-10; 0,00 ;;;;
1945-08;;;4,6355E-10; 0,00 ;;;;
1945-09;;;4,7031E-10; 0,00 ;;;;
1945-10;;;4,8648E-10; 0,00 ;;;;
1945-11;;;4,8958E-10; 0,00 ;;;;
1945-12;;;5,0432E-10; 0,00 ;;;;
